date,ticker,model_prob,market_prob,outcome,disagreement
2024-09-26,HIGHAUS-24SEP26-T91,0.464130058179545,0.285,0,0.17913005817954503
2024-09-26,HIGHAUS-24SEP26-B90.5,0.01457542026932268,0.435,0,-0.4204245797306773
2024-09-26,HIGHAUS-24SEP26-B88.5,0.014603957617779217,0.245,1,-0.23039604238222078
2024-09-26,HIGHAUS-24SEP26-T84,0.47747532659945074,0.025,0,0.4524753265994507
2024-09-26,HIGHAUS-24SEP26-B84.5,0.014602305831123874,0.025,0,-0.010397694168876127
2024-09-26,HIGHAUS-24SEP26-B86.5,0.014612931502778481,0.065,0,-0.05038706849722152
2024-09-27,HIGHAUS-24SEP27-B90.5,0.01460272288416653,0.105,0,-0.09039727711583347
2024-09-27,HIGHAUS-24SEP27-B92.5,0.01457294288966604,0.345,0,-0.33042705711033393
2024-09-27,HIGHAUS-24SEP27-B94.5,0.014523724059870124,0.69,1,-0.6754762759401298
2024-09-27,HIGHAUS-24SEP27-T95,0.4486796656614662,0.175,0,0.27367966566146623
2024-09-28,HIGHAUS-24SEP28-T98,0.4606040043847216,0.14,0,0.3206040043847216
2024-09-28,HIGHAUS-24SEP28-B95.5,0.014598834322340215,0.565,1,-0.5504011656776597
2024-09-28,HIGHAUS-24SEP28-B97.5,0.014565569804342315,0.335,0,-0.3204344301956577
2024-09-28,HIGHAUS-24SEP28-B93.5,0.014612555976279584,0.105,0,-0.09038744402372041
2024-09-28,HIGHAUS-24SEP28-B91.5,0.014606679584238502,0.025,0,-0.0103933204157615
2024-09-29,HIGHAUS-24SEP29-B92.5,0.014612948833481965,0.09,0,-0.07538705116651803
2024-09-29,HIGHAUS-24SEP29-B94.5,0.014603090422907639,0.675,1,-0.6603969095770924
2024-09-29,HIGHAUS-24SEP29-B96.5,0.01457367203597304,0.395,0,-0.380426327964027
2024-09-29,HIGHAUS-24SEP29-T97,0.46347306473377303,0.05,0,0.41347306473377304
2024-09-30,HIGHAUS-24SEP30-B93.5,0.014610053865178108,0.065,0,-0.050389946134821895
2024-09-30,HIGHAUS-24SEP30-B95.5,0.0145896139259315,0.75,0,-0.7354103860740685
2024-09-30,HIGHAUS-24SEP30-B97.5,0.014549668183228448,0.405,1,-0.3904503318167716
2024-09-30,HIGHAUS-24SEP30-T98,0.4556155376636336,0.155,0,0.3006155376636336
2024-10-01,HIGHAUS-24OCT01-T99,0.4740757492209595,0.15,0,0.3240757492209595
2024-10-01,HIGHAUS-24OCT01-B98.5,0.014597016164222598,0.525,0,-0.5104029838357774
2024-10-01,HIGHAUS-24OCT01-B96.5,0.014612206440637987,0.42,1,-0.405387793559362
2024-10-01,HIGHAUS-24OCT01-T92,0.46752341329943714,0.025,0,0.4425234132994371
2024-10-01,HIGHAUS-24OCT01-B92.5,0.0145838147975762,0.025,0,-0.010416185202423801
2024-10-01,HIGHAUS-24OCT01-B94.5,0.014607800077166555,0.075,0,-0.06039219992283344
2024-10-02,HIGHAUS-24OCT02-B90.5,0.014612375906316588,0.005,0,0.009612375906316587
2024-10-02,HIGHAUS-24OCT02-T90,0.489161255783101,0.005,0,0.484161255783101
2024-10-02,HIGHAUS-24OCT02-B92.5,0.0146073141055999,0.12,0,-0.1053926858944001
2024-10-02,HIGHAUS-24OCT02-B94.5,0.014582675343275286,0.545,1,-0.5304173246567248
2024-10-02,HIGHAUS-24OCT02-B96.5,0.014538558656240541,0.315,0,-0.30046144134375946
2024-10-02,HIGHAUS-24OCT02-T97,0.4524978202054667,0.26,0,0.19249782020546669
2024-10-03,HIGHAUS-24OCT03-B97.5,0.014562176652914482,0.1,0,-0.08543782334708552
2024-10-03,HIGHAUS-24OCT03-T98,0.4594763010175035,0.24,0,0.21947630101750348
2024-10-03,HIGHAUS-24OCT03-B95.5,0.014596952268647656,0.405,1,-0.39040304773135237
2024-10-03,HIGHAUS-24OCT03-T91,0.4821445411546989,0.065,0,0.4171445411546989
2024-10-03,HIGHAUS-24OCT03-B93.5,0.014612192586345996,0.6,0,-0.585387807413654
2024-10-03,HIGHAUS-24OCT03-B91.5,0.014607836319889489,0.06,0,-0.04539216368011051
2024-10-04,HIGHAUS-24OCT04-T91,0.4867946438690315,0.06,0,0.4267946438690315
2024-10-04,HIGHAUS-24OCT04-B91.5,0.01461135065242547,0.06,0,-0.04538864934757453
2024-10-04,HIGHAUS-24OCT04-B93.5,0.01460946465840085,0.52,0,-0.5053905353415992
2024-10-04,HIGHAUS-24OCT04-B95.5,0.014587993053211012,0.565,1,-0.5504120069467889
2024-10-04,HIGHAUS-24OCT04-B97.5,0.014547022157911704,0.145,0,-0.13045297784208829
2024-10-04,HIGHAUS-24OCT04-T98,0.4548495256090195,0.18,0,0.2748495256090195
2024-10-05,HIGHAUS-24OCT05-B91.5,0.014610882061074415,0.495,0,-0.4803891179389256
2024-10-05,HIGHAUS-24OCT05-B93.5,0.014610081999506197,0.415,1,-0.4003899180004938
2024-10-05,HIGHAUS-24OCT05-B95.5,0.0145896938436606,0.355,0,-0.3404103061563394
2024-10-05,HIGHAUS-24OCT05-T96,0.47020378623122994,0.24,0,0.23020378623122995
2024-10-06,HIGHAUS-24OCT06-T98,0.4624539622328755,0.25,0,0.2124539622328755
2024-10-06,HIGHAUS-24OCT06-B97.5,0.014570881279149406,0.085,0,-0.0704291187208506
2024-10-06,HIGHAUS-24OCT06-B93.5,0.014612896639643158,0.37,0,-0.35538710336035684
2024-10-06,HIGHAUS-24OCT06-B91.5,0.014604527778876164,0.235,0,-0.22039547222112382
2024-10-06,HIGHAUS-24OCT06-B95.5,0.014601666084005482,0.405,1,-0.39039833391599454
2024-10-07,HIGHAUS-24OCT07-T91,0.4794638213730691,0.06,0,0.4194638213730691
2024-10-07,HIGHAUS-24OCT07-B91.5,0.0146049064611945,0.04,0,-0.0253950935388055
2024-10-07,HIGHAUS-24OCT07-B93.5,0.014612862086916811,0.375,0,-0.3603871379130832
2024-10-07,HIGHAUS-24OCT07-B95.5,0.014601218435234431,0.6,1,-0.5853987815647655
2024-10-07,HIGHAUS-24OCT07-B97.5,0.01457002233421334,0.155,0,-0.14042997766578666
2024-10-07,HIGHAUS-24OCT07-T98,0.46214716930937183,0.06,0,0.40214716930937183
2024-10-08,HIGHAUS-24OCT08-B95.5,0.014565641455853151,0.49,0,-0.47543435854414684
2024-10-08,HIGHAUS-24OCT08-T96,0.4606282470568712,0.06,0,0.4006282470568712
2024-10-08,HIGHAUS-24OCT08-B93.5,0.014598873484949038,0.54,1,-0.525401126515051
2024-10-08,HIGHAUS-24OCT08-B91.5,0.01461256249254228,0.115,0,-0.10038743750745772
2024-10-08,HIGHAUS-24OCT08-B89.5,0.014606653427941707,0.05,0,-0.035393346572058296
2024-10-08,HIGHAUS-24OCT08-T89,0.4809880220818426,0.06,0,0.4209880220818426
2024-10-09,HIGHAUS-24OCT09-B90.5,0.01458071524766874,0.12,0,-0.10541928475233125
2024-10-09,HIGHAUS-24OCT09-T90,0.466219598934375,0.06,0,0.406219598934375
2024-10-09,HIGHAUS-24OCT09-B92.5,0.01460644983051873,0.725,1,-0.7103935501694812
2024-10-09,HIGHAUS-24OCT09-B94.5,0.01461261092764965,0.425,0,-0.41038738907235034
2024-10-09,HIGHAUS-24OCT09-B96.5,0.014599173757742445,0.105,0,-0.09040082624225755
2024-10-09,HIGHAUS-24OCT09-T97,0.47538145130204545,0.05,0,0.42538145130204547
2024-10-10,HIGHAUS-24OCT10-T98,0.4677048274814928,0.215,0,0.2527048274814928
2024-10-10,HIGHAUS-24OCT10-B97.5,0.014584233630906551,0.33,0,-0.31541576636909346
2024-10-10,HIGHAUS-24OCT10-B95.5,0.014607975485423585,0.76,1,-0.7453920245145764
2024-10-10,HIGHAUS-24OCT10-B91.5,0.014596703587825721,0.215,0,-0.20040329641217428
