station,model,period,year,season,mean_bias,std_diff,mae_vs_knyc,correlation,ks_statistic,ks_pvalue,n_days,rolling_bias_range,rolling_bias_stability_std
KEWR,NAM,yearly,2004,all,1.2668810289389068,1.5809846611221297,1.652733118971061,,,,311,,
KEWR,NAM,yearly,2005,all,1.2082191780821918,1.705014696905618,1.6958904109589041,,,,365,,
KEWR,NAM,yearly,2006,all,1.140495867768595,1.7029667894684861,1.6363636363636365,,,,363,,
KEWR,NAM,yearly,2007,all,1.1369863013698631,1.514717799970706,1.515068493150685,,,,365,,
KEWR,NAM,yearly,2008,all,1.0601092896174864,1.5320123713049032,1.4098360655737705,,,,366,,
KEWR,NAM,yearly,2009,all,1.463013698630137,2.041297990513772,2.0657534246575344,,,,365,,
KEWR,NAM,yearly,2010,all,1.5205479452054795,2.2889461383365783,2.265753424657534,,,,365,,
KEWR,NAM,yearly,2011,all,1.5315068493150685,2.1154115745548547,2.063013698630137,,,,365,,
KEWR,NAM,yearly,2012,all,1.46448087431694,2.1255382888674172,2.060109289617486,,,,366,,
KEWR,NAM,yearly,2013,all,1.263013698630137,2.138572162137386,1.9698630136986301,,,,365,,
KEWR,NAM,yearly,2014,all,1.0356164383561643,2.2547489482222316,1.917808219178082,,,,365,,
KEWR,NAM,yearly,2015,all,1.158904109589041,2.3480080180586436,2.0082191780821916,,,,365,,
KEWR,NAM,yearly,2016,all,0.9262295081967213,2.2077126306452213,1.8879781420765027,,,,366,,
KEWR,NAM,yearly,2017,all,1.2328767123287672,1.9870497481923692,1.8684931506849316,,,,365,,
KEWR,NAM,yearly,2018,all,0.6712328767123288,2.009966885904501,1.6027397260273972,,,,365,,
KEWR,NAM,yearly,2019,all,0.6493150684931507,1.9619402881879902,1.652054794520548,,,,365,,
KEWR,NAM,yearly,2020,all,1.0245901639344261,2.008733458064265,1.7295081967213115,,,,366,,
KEWR,NAM,yearly,2021,all,1.0246575342465754,1.964505140126087,1.7863013698630137,,,,365,,
KEWR,NAM,yearly,2022,all,0.821917808219178,2.0804061426800007,1.7698630136986302,,,,365,,
KEWR,NAM,yearly,2023,all,1.1643835616438356,1.8928269647303626,1.7342465753424658,,,,365,,
KEWR,NAM,yearly,2024,all,1.1229508196721312,1.9070648846557372,1.7513661202185793,,,,366,,
KEWR,NAM,yearly,2025,all,0.8438356164383561,1.9014877273596618,1.6054794520547946,,,,365,,
KEWR,NAM,yearly,2026,all,0.047619047619047616,2.208104594469235,1.7142857142857142,,,,42,,
KEWR,NAM,seasonal,all,DJF,0.6224024328433857,2.336074989208836,1.8307146477445515,,,,1973,,
KEWR,NAM,seasonal,all,JJA,1.8127470355731226,1.2092147287592276,1.867094861660079,,,,2024,,
KEWR,NAM,seasonal,all,MAM,0.9920948616600791,1.9905701468508068,1.732213438735178,,,,2024,,
KEWR,NAM,seasonal,all,SON,1.0295,2.09327988103124,1.7815,,,,2000,,
