model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
"Phase1B+1C_NN[32, 16]",train,2.1827,2.8995,0.9744,2.3319,2.6301,1.8708,1.8978
"Phase1B+1C_NN[32, 16]",val,2.1496,2.8757,0.9742,2.2575,2.6126,1.903,1.8243
"Phase1B+1C_NN[32, 16]",test,2.0562,2.7232,0.9719,2.2058,2.5493,1.7729,1.6951
"Phase1B+1C_NN[32, 16]",oos,2.157,2.8234,0.9766,2.0558,2.859,1.7863,1.922
"Phase1B+1C_NN[64, 32]",train,2.2331,2.952,0.9735,2.4088,2.6458,1.927,1.9509
"Phase1B+1C_NN[64, 32]",val,2.1308,2.8756,0.9742,2.1841,2.5773,1.9322,1.8274
"Phase1B+1C_NN[64, 32]",test,2.0432,2.7138,0.9721,2.2252,2.5033,1.7978,1.645
"Phase1B+1C_NN[64, 32]",oos,2.076,2.7823,0.9773,1.8476,2.8881,1.7514,1.8093
Phase1B+1C_HGB,train,2.2268,2.9015,0.9744,2.4168,2.595,1.9058,1.9904
Phase1B+1C_HGB,val,2.259,3.0296,0.9714,2.4223,2.7476,1.8842,1.9824
Phase1B+1C_HGB,test,2.0712,2.757,0.9712,2.2389,2.4666,1.8491,1.7294
Phase1B+1C_HGB,oos,2.1499,2.8458,0.9763,2.1511,2.7956,1.8318,1.8174
AllPhase1_Ridge,train,2.3034,3.042,0.9719,2.5497,2.7369,1.9065,2.0221
AllPhase1_Ridge,val,2.2627,2.9766,0.9724,2.4378,2.6996,1.8417,2.0735
AllPhase1_Ridge,test,2.1246,2.7296,0.9717,2.3589,2.4996,1.8305,1.8096
AllPhase1_Ridge,oos,2.2206,2.8777,0.9757,2.0815,2.9947,1.8514,1.9488
"AllPhase1_NN[32, 16]",train,2.1841,2.9305,0.9739,2.3888,2.6147,1.8329,1.9008
"AllPhase1_NN[32, 16]",val,2.1004,2.7983,0.9756,2.2673,2.4893,1.7901,1.856
"AllPhase1_NN[32, 16]",test,2.0605,2.6993,0.9724,2.3047,2.4072,1.801,1.7295
"AllPhase1_NN[32, 16]",oos,2.0533,2.7296,0.9782,1.9432,2.8514,1.6764,1.7364
"AllPhase1_NN[64, 32]",train,2.0781,2.7752,0.9766,2.2318,2.4649,1.7909,1.825
"AllPhase1_NN[64, 32]",val,2.0642,2.7614,0.9762,2.3106,2.4062,1.7383,1.804
"AllPhase1_NN[64, 32]",test,2.0147,2.656,0.9732,2.1545,2.3839,1.8409,1.6782
"AllPhase1_NN[64, 32]",oos,2.0248,2.7037,0.9786,1.849,2.7754,1.6446,1.8243
AllPhase1_HGB,train,2.0991,2.7628,0.9768,2.2863,2.4475,1.7911,1.8727
AllPhase1_HGB,val,2.1952,2.9466,0.9729,2.4237,2.6257,1.7544,1.9797
AllPhase1_HGB,test,2.0534,2.6831,0.9727,2.1541,2.3694,1.8932,1.7959
AllPhase1_HGB,oos,2.1016,2.7895,0.9772,2.0683,2.8428,1.701,1.79
