model,bucket_idx,bucket_label,brier_score
Ridge (a=100.0),46,80-82,0.03472216752022075
Ridge (a=100.0),47,82-84,0.037229728413395384
Ridge (a=100.0),48,84-86,0.03590150042319735
Ridge (a=100.0),49,86-88,0.04976979105136474
Ridge (a=100.0),50,88-90,0.024508257794900085
Ridge (a=100.0),51,90-92,0.021918863890272852
Ridge (a=100.0),52,92-94,0.011055320480781816
Ridge (a=100.0),53,94-96,0.003689913585189982
Ridge (a=100.0),54,96-98,0.0026009456807602176
Ridge (a=100.0),55,98-100,0.001693995823818913
Ridge (a=100.0),56,100-102,0.0004628365341265659
Ridge (a=100.0),57,102-104,8.410485839143172e-06
Ridge (a=100.0),58,104-106,2.0766926463765525e-06
Ridge (a=100.0),59,106-108,4.4303531997942403e-07
Ridge (a=100.0),60,108-110,8.59884028818989e-08
Ridge (a=100.0),61,Above 110,3.450626913679642e-08
HeteroscedasticNN,0,Below -10,1.2282321659966211e-07
HeteroscedasticNN,1,-10--8,0.00044970818936054845
HeteroscedasticNN,2,-8--6,1.0469935841011713e-07
HeteroscedasticNN,3,-6--4,2.151558000358703e-07
HeteroscedasticNN,4,-4--2,4.3719686282513325e-07
HeteroscedasticNN,5,-2-0,0.00045658556422300693
HeteroscedasticNN,6,0-2,0.00043058729117004973
HeteroscedasticNN,7,2-4,0.001324509319449586
HeteroscedasticNN,8,4-6,0.0013266208999912188
HeteroscedasticNN,9,6-8,1.9302940197779734e-05
HeteroscedasticNN,10,8-10,4.877541665367484e-05
HeteroscedasticNN,11,10-12,0.0013144144013879104
HeteroscedasticNN,12,12-14,0.003176099723112764
HeteroscedasticNN,13,14-16,0.003885083371099063
HeteroscedasticNN,14,16-18,0.0022267199698843645
HeteroscedasticNN,15,18-20,0.0031228760297812015
HeteroscedasticNN,16,20-22,0.004719374805826521
HeteroscedasticNN,17,22-24,0.004157297755975657
HeteroscedasticNN,18,24-26,0.0071492861003845855
HeteroscedasticNN,19,26-28,0.010888152414583237
HeteroscedasticNN,20,28-30,0.010263053897030142
HeteroscedasticNN,21,30-32,0.015499726090162204
HeteroscedasticNN,22,32-34,0.03273401547584465
HeteroscedasticNN,23,34-36,0.024139377318616925
HeteroscedasticNN,24,36-38,0.025593131205743542
HeteroscedasticNN,25,38-40,0.029044811373116194
HeteroscedasticNN,26,40-42,0.016557545930230833
HeteroscedasticNN,27,42-44,0.02528209922118702
HeteroscedasticNN,28,44-46,0.024598090875230443
HeteroscedasticNN,29,46-48,0.0254302647512394
HeteroscedasticNN,30,48-50,0.02444122295122095
HeteroscedasticNN,31,50-52,0.04548869003385001
HeteroscedasticNN,32,52-54,0.025259033307223365
