date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2025-04-08,KXHIGHNY-25APR08-B50.5,KXHIGHNY-25APR08,50-52F,50.0,50.0,52.0,between,between,0.01,0,45.0,no,0,1173,0.0,0.01
2025-04-08,KXHIGHNY-25APR08-B52.5,KXHIGHNY-25APR08,52-54F,52.0,52.0,54.0,between,between,0.01,0,45.0,no,0,270,0.0,0.01
2025-04-08,KXHIGHNY-25APR08-T53,KXHIGHNY-25APR08,Above 53F,53.0,53.0,,above,greater,0.01,0,45.0,no,0,68,0.0,0.01
2025-04-09,KXHIGHNY-25APR09-T47,KXHIGHNY-25APR09,Below 47F,47.0,,47.0,below,less,0.01,0,49.0,no,0,10555,0.0,0.01
2025-04-09,KXHIGHNY-25APR09-B47.5,KXHIGHNY-25APR09,47-49F,47.0,47.0,49.0,between,between,0.01,0,49.0,no,0,45616,0.0,0.01
2025-04-09,KXHIGHNY-25APR09-B49.5,KXHIGHNY-25APR09,49-51F,49.0,49.0,51.0,between,between,0.99,1,49.0,yes,100,24864,0.99,1.0
2025-04-09,KXHIGHNY-25APR09-B51.5,KXHIGHNY-25APR09,51-53F,51.0,51.0,53.0,between,between,0.01,0,49.0,no,0,8298,0.0,0.01
2025-04-09,KXHIGHNY-25APR09-B53.5,KXHIGHNY-25APR09,53-55F,53.0,53.0,55.0,between,between,0.01,0,49.0,no,0,1616,0.0,0.01
2025-04-09,KXHIGHNY-25APR09-T54,KXHIGHNY-25APR09,Above 54F,54.0,54.0,,above,greater,0.03,0,49.0,no,0,1286,0.0,0.01
2025-04-10,KXHIGHNY-25APR10-B49.5,KXHIGHNY-25APR10,49-51F,49.0,49.0,51.0,between,between,0.01,0,51.0,no,0,50046,0.0,0.01
2025-04-10,KXHIGHNY-25APR10-T49,KXHIGHNY-25APR10,Below 49F,49.0,,49.0,below,less,0.01,0,51.0,no,0,17150,0.0,0.01
2025-04-10,KXHIGHNY-25APR10-B51.5,KXHIGHNY-25APR10,51-53F,51.0,51.0,53.0,between,between,0.99,1,51.0,yes,100,16805,0.99,1.0
2025-04-10,KXHIGHNY-25APR10-B53.5,KXHIGHNY-25APR10,53-55F,53.0,53.0,55.0,between,between,0.01,0,51.0,no,0,5283,0.0,0.01
2025-04-10,KXHIGHNY-25APR10-B55.5,KXHIGHNY-25APR10,55-57F,55.0,55.0,57.0,between,between,0.01,0,51.0,no,0,1962,0.0,0.01
