date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2023-07-10,HIGHNY-23JUL10-B80.5,80-81F,80.0,81.0,between,between,0.275,25,30,0,272,2023-07-10 05:00:00 UTC
2023-07-10,HIGHNY-23JUL10-B78.5,78-79F,78.0,79.0,between,between,0.285,5,52,20,230,2023-07-10 04:00:00 UTC
2023-07-10,HIGHNY-23JUL10-T78,Below 77F,,77.0,below,less,0.51,3,99,20,39,2023-07-10 04:00:00 UTC
2023-07-11,HIGHNY-23JUL11-T92,Above 93F,93.0,,above,greater,0.145,9,20,0,560,2023-07-11 05:00:00 UTC
2023-07-11,HIGHNY-23JUL11-B91.5,91-92F,91.0,92.0,between,between,0.42,32,52,0,705,2023-07-11 05:00:00 UTC
2023-07-11,HIGHNY-23JUL11-B89.5,89-90F,89.0,90.0,between,between,0.275,3,52,0,553,2023-07-11 05:00:00 UTC
2023-07-11,HIGHNY-23JUL11-B87.5,87-88F,87.0,88.0,between,between,0.26,0,52,0,280,2023-07-11 05:00:00 UTC
2023-07-11,HIGHNY-23JUL11-B85.5,85-86F,85.0,86.0,between,between,,,,,,
2023-07-11,HIGHNY-23JUL11-T85,Below 84F,,84.0,below,less,0.015,0,3,0,0,2023-07-11 00:00:00 UTC
2023-07-12,HIGHNY-23JUL12-T95,Above 96F,96.0,,above,greater,0.5,0,100,0,110,2023-07-12 05:00:00 UTC
2023-07-12,HIGHNY-23JUL12-B94.5,94-95F,94.0,95.0,between,between,0.26,0,52,0,333,2023-07-12 05:00:00 UTC
2023-07-12,HIGHNY-23JUL12-B92.5,92-93F,92.0,93.0,between,between,0.275,3,52,0,120,2023-07-12 05:00:00 UTC
2023-07-12,HIGHNY-23JUL12-T88,Below 87F,,87.0,below,less,0.015,0,3,0,0,2023-07-12 00:00:00 UTC
2023-07-12,HIGHNY-23JUL12-B90.5,90-91F,90.0,91.0,between,between,0.26,0,52,0,180,2023-07-12 05:00:00 UTC
2023-07-12,HIGHNY-23JUL12-B88.5,88-89F,88.0,89.0,between,between,,,,,,
