model,total_pnl,return_pct,n_trades,win_rate,sharpe_ratio,max_drawdown,max_drawdown_pct,n_trading_days,ev_threshold,kelly_fraction,max_contracts,period
u6_ensemble_prob,-170.97800000000052,-17.097800000000053,305,0.39344262295081966,-3.31460220875305,-185.64000000000055,-18.35119949070583,178,0.03,0.2,10,
u6_ensemble_prob,-170.97800000000052,-17.097800000000053,305,0.39344262295081966,-3.31460220875305,-185.64000000000055,-18.35119949070583,178,0.03,0.25,10,
u6_ensemble_prob,-156.1960000000006,-15.619600000000059,277,0.3935018050541516,-3.0766274698111054,-170.27400000000057,-16.841936594224457,178,0.04,0.1,10,
u6_ensemble_prob,-156.1960000000006,-15.619600000000059,277,0.3935018050541516,-3.0766274698111054,-170.27400000000057,-16.841936594224457,178,0.04,0.15,10,
u6_ensemble_prob,-156.1960000000006,-15.619600000000059,277,0.3935018050541516,-3.0766274698111054,-170.27400000000057,-16.841936594224457,178,0.04,0.2,10,
u6_ensemble_prob,-156.1960000000006,-15.619600000000059,277,0.3935018050541516,-3.0766274698111054,-170.27400000000057,-16.841936594224457,178,0.04,0.25,10,
u6_ensemble_prob,-148.67000000000053,-14.867000000000052,250,0.392,-2.9616779783272222,-155.2340000000006,-15.469288429075153,178,0.05,0.1,10,
u6_ensemble_prob,-148.67000000000053,-14.867000000000052,250,0.392,-2.9616779783272222,-155.2340000000006,-15.469288429075153,178,0.05,0.15,10,
u6_ensemble_prob,-148.67000000000053,-14.867000000000052,250,0.392,-2.9616779783272222,-155.2340000000006,-15.469288429075153,178,0.05,0.2,10,
u6_ensemble_prob,-148.67000000000053,-14.867000000000052,250,0.392,-2.9616779783272222,-155.2340000000006,-15.469288429075153,178,0.05,0.25,10,
u7_extended_prob,-27.539999999999736,-2.7539999999999734,208,0.3894230769230769,-0.5113247809015329,-73.04800000000012,-7.097055005868234,178,0.02,0.1,10,
u7_extended_prob,-27.539999999999736,-2.7539999999999734,208,0.3894230769230769,-0.5113247809015329,-73.04800000000012,-7.097055005868234,178,0.02,0.15,10,
u7_extended_prob,-27.539999999999736,-2.7539999999999734,208,0.3894230769230769,-0.5113247809015329,-73.04800000000012,-7.097055005868234,178,0.02,0.2,10,
u7_extended_prob,-27.539999999999736,-2.7539999999999734,208,0.3894230769230769,-0.5113247809015329,-73.04800000000012,-7.097055005868234,178,0.02,0.25,10,
u7_extended_prob,-0.6519999999990205,-0.06519999999990204,175,0.4,-0.013153206875225056,-68.84799999999927,-6.561876913340608,178,0.03,0.1,10,
u7_extended_prob,-0.6519999999990205,-0.06519999999990204,175,0.4,-0.013153206875225056,-68.84799999999927,-6.561876913340608,178,0.03,0.15,10,
u7_extended_prob,-0.6519999999990205,-0.06519999999990204,175,0.4,-0.013153206875225056,-68.84799999999927,-6.561876913340608,178,0.03,0.2,10,
u7_extended_prob,-0.6519999999990205,-0.06519999999990204,175,0.4,-0.013153206875225056,-68.84799999999927,-6.561876913340608,178,0.03,0.25,10,
u7_extended_prob,7.766000000000872,0.7766000000000872,148,0.39864864864864863,0.17107348386811974,-49.8479999999995,-4.799399208572782,178,0.04,0.1,10,
u7_extended_prob,7.766000000000872,0.7766000000000872,148,0.39864864864864863,0.17107348386811974,-49.8479999999995,-4.799399208572782,178,0.04,0.15,10,
u7_extended_prob,7.766000000000872,0.7766000000000872,148,0.39864864864864863,0.17107348386811974,-49.8479999999995,-4.799399208572782,178,0.04,0.2,10,
u7_extended_prob,7.766000000000872,0.7766000000000872,148,0.39864864864864863,0.17107348386811974,-49.8479999999995,-4.799399208572782,178,0.04,0.25,10,
u7_extended_prob,36.33200000000011,3.6332000000000106,119,0.40336134453781514,0.9543673280576039,-28.211999999999534,-2.699929946521973,178,0.05,0.1,10,
u7_extended_prob,36.33200000000011,3.6332000000000106,119,0.40336134453781514,0.9543673280576039,-28.211999999999534,-2.699929946521973,178,0.05,0.15,10,
u7_extended_prob,36.33200000000011,3.6332000000000106,119,0.40336134453781514,0.9543673280576039,-28.211999999999534,-2.699929946521973,178,0.05,0.2,10,
u7_extended_prob,36.33200000000011,3.6332000000000106,119,0.40336134453781514,0.9543673280576039,-28.211999999999534,-2.699929946521973,178,0.05,0.25,10,
u8_cv_prob,-22.264200000000073,-2.2264200000000076,148,0.3716216216216216,-0.4969233865915635,-60.07800000000009,-5.847896293334334,178,0.02,0.1,10,
u8_cv_prob,-22.812000000000126,-2.2812000000000126,148,0.3716216216216216,-0.5086523686673181,-60.07800000000009,-5.851016170690195,178,0.02,0.15,10,
u8_cv_prob,-22.812000000000126,-2.2812000000000126,148,0.3716216216216216,-0.5086523686673181,-60.07800000000009,-5.851016170690195,178,0.02,0.2,10,
u8_cv_prob,-22.812000000000126,-2.2812000000000126,148,0.3716216216216216,-0.5086523686673181,-60.07800000000009,-5.851016170690195,178,0.02,0.25,10,
u8_cv_prob,1.8039999999999736,0.18039999999999737,114,0.39473684210526316,0.045801657772151394,-40.322000000000116,-3.922465115917115,178,0.03,0.1,10,
u8_cv_prob,1.8039999999999736,0.18039999999999737,114,0.39473684210526316,0.045801657772151394,-40.322000000000116,-3.922465115917115,178,0.03,0.15,10,
u8_cv_prob,1.8039999999999736,0.18039999999999737,114,0.39473684210526316,0.045801657772151394,-40.322000000000116,-3.922465115917115,178,0.03,0.2,10,
u8_cv_prob,1.8039999999999736,0.18039999999999737,114,0.39473684210526316,0.045801657772151394,-40.322000000000116,-3.922465115917115,178,0.03,0.25,10,
u8_cv_prob,8.050000000000182,0.8050000000000181,84,0.40476190476190477,0.2255404271413097,-27.389999999999986,-2.676597798916069,178,0.04,0.1,10,
u8_cv_prob,8.050000000000182,0.8050000000000181,84,0.40476190476190477,0.2255404271413097,-27.389999999999986,-2.676597798916069,178,0.04,0.15,10,
u8_cv_prob,8.050000000000182,0.8050000000000181,84,0.40476190476190477,0.2255404271413097,-27.389999999999986,-2.676597798916069,178,0.04,0.2,10,
u8_cv_prob,8.050000000000182,0.8050000000000181,84,0.40476190476190477,0.2255404271413097,-27.389999999999986,-2.676597798916069,178,0.04,0.25,10,
u8_cv_prob,7.425999999999931,0.742599999999993,59,0.3898305084745763,0.24836556202648852,-31.652000000000044,-3.095598561933492,178,0.05,0.1,10,
u8_cv_prob,7.425999999999931,0.742599999999993,59,0.3898305084745763,0.24836556202648852,-31.652000000000044,-3.095598561933492,178,0.05,0.15,10,
u8_cv_prob,7.425999999999931,0.742599999999993,59,0.3898305084745763,0.24836556202648852,-31.652000000000044,-3.095598561933492,178,0.05,0.2,10,
u8_cv_prob,7.425999999999931,0.742599999999993,59,0.3898305084745763,0.24836556202648852,-31.652000000000044,-3.095598561933492,178,0.05,0.25,10,
u9_kitchen_prob,-4.208999999999378,-0.4208999999999378,201,0.4228855721393035,-0.09163119584022,-58.75899999999967,-5.688586232535052,178,0.02,0.1,10,
u9_kitchen_prob,-3.7099999999993543,-0.37099999999993544,201,0.4228855721393035,-0.08068716089677547,-58.25999999999965,-5.64027696025276,178,0.02,0.15,10,
u9_kitchen_prob,-3.7099999999993543,-0.37099999999993544,201,0.4228855721393035,-0.08068716089677547,-58.25999999999965,-5.64027696025276,178,0.02,0.2,10,
u9_kitchen_prob,-3.7099999999993543,-0.37099999999993544,201,0.4228855721393035,-0.08068716089677547,-58.25999999999965,-5.64027696025276,178,0.02,0.25,10,
u9_kitchen_prob,13.454000000000178,1.3454000000000177,176,0.4034090909090909,0.3051553916589417,-61.182000000000016,-5.826158003896677,178,0.03,0.1,10,
u9_kitchen_prob,13.454000000000178,1.3454000000000177,176,0.4034090909090909,0.3051553916589417,-61.182000000000016,-5.826158003896677,178,0.03,0.15,10,
u9_kitchen_prob,13.454000000000178,1.3454000000000177,176,0.4034090909090909,0.3051553916589417,-61.182000000000016,-5.826158003896677,178,0.03,0.2,10,
u9_kitchen_prob,13.454000000000178,1.3454000000000177,176,0.4034090909090909,0.3051553916589417,-61.182000000000016,-5.826158003896677,178,0.03,0.25,10,
u9_kitchen_prob,27.698000000000093,2.7698000000000094,153,0.4117647058823529,0.6464708172255963,-39.63199999999995,-3.783231669482703,178,0.04,0.1,10,
u9_kitchen_prob,27.698000000000093,2.7698000000000094,153,0.4117647058823529,0.6464708172255963,-39.63199999999995,-3.783231669482703,178,0.04,0.15,10,
u9_kitchen_prob,27.698000000000093,2.7698000000000094,153,0.4117647058823529,0.6464708172255963,-39.63199999999995,-3.783231669482703,178,0.04,0.2,10,
u9_kitchen_prob,27.698000000000093,2.7698000000000094,153,0.4117647058823529,0.6464708172255963,-39.63199999999995,-3.783231669482703,178,0.04,0.25,10,
u9_kitchen_prob,46.86599999999976,4.6865999999999755,119,0.42857142857142855,1.2113641072338837,-31.7800000000002,-3.0039567536093994,178,0.05,0.1,10,
u9_kitchen_prob,46.86599999999976,4.6865999999999755,119,0.42857142857142855,1.2113641072338837,-31.7800000000002,-3.0039567536093994,178,0.05,0.15,10,
u9_kitchen_prob,46.86599999999976,4.6865999999999755,119,0.42857142857142855,1.2113641072338837,-31.7800000000002,-3.0039567536093994,178,0.05,0.2,10,
u9_kitchen_prob,46.86599999999976,4.6865999999999755,119,0.42857142857142855,1.2113641072338837,-31.7800000000002,-3.0039567536093994,178,0.05,0.25,10,
model_prob,-650.5340000000012,-65.05340000000012,1603,0.42108546475358705,-4.0074915585072,-670.248000000001,-65.8888757815266,451,0.03,0.15,10,IS+OOS
u3_mlp_prob,-71.14999999999964,-7.114999999999963,780,0.382051282051282,-0.45938011980492965,-180.777999999999,-16.431376113433842,451,0.03,0.15,10,IS+OOS
u4_platt_prob,-155.74200000000064,-15.574200000000065,743,0.43741588156123823,-1.02632377473001,-226.9740000000005,-21.37626153226024,451,0.03,0.15,10,IS+OOS
u5_regime_prob,-46.71800000000019,-4.671800000000019,574,0.3606271777003484,-0.3379975665238248,-158.02200000000028,-14.998718642330392,451,0.03,0.15,10,IS+OOS
u6_ensemble_prob,-148.78600000000142,-14.87860000000014,702,0.45584045584045585,-1.0712407393050702,-185.6400000000001,-17.957260095880425,451,0.03,0.15,10,IS+OOS
u7_extended_prob,-27.47399999999982,-2.7473999999999816,475,0.37684210526315787,-0.21069115136777136,-120.57399999999996,-11.674997143559837,451,0.03,0.15,10,IS+OOS
u8_cv_prob,105.73199999999952,10.573199999999952,332,0.40963855421686746,0.9055744428921095,-100.50200000000007,-9.722568874081217,451,0.03,0.15,10,IS+OOS
u9_kitchen_prob,313.37199999999893,31.337199999999893,449,0.4766146993318486,2.5208582511229585,-113.1400000000001,-10.468946628173818,451,0.03,0.15,10,IS+OOS
